Job Title,Company Name,Job Qualifications,URL,Type,Work Hours,Kota,Georeferenced,Longitude,Latitude
Deputy  of Data Management & Analytics,ABeam Consulting Indonesia,,https://www.linkedin.com/jobs/search/?currentJobId=3909641055&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Scientist,Staffinc Group,,https://www.linkedin.com/jobs/search/?currentJobId=3983197532&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=150,On-Site,Contract,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Machine Learning Scientist,Hyppies.com,,https://www.linkedin.com/jobs/search/?currentJobId=4002420130&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,Hybrid,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Scientist,PT. Inovasi Anak Indonesia - PARKEE,,https://www.linkedin.com/jobs/search/?currentJobId=3980335817&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,On-Site,Contract,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Scientist,HAUD,,https://www.linkedin.com/jobs/search/?currentJobId=3924249768&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,Hybrid,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
L2 SOC Analyst,Wolkk.,"Crowdstrike Falcon, Identity and Access Management (IAM), Microsoft Defender, and Security Incident Response",https://www.linkedin.com/jobs/search/?currentJobId=4017688485&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,Remote,Contract,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Business Intelligence,SawitPRO,,https://www.linkedin.com/jobs/search/?currentJobId=4000210746&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Software Engineering,Crossover,,https://www.linkedin.com/jobs/search/?currentJobId=4017076602&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,Remote,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
/ Staff Data Scientist,Agoda,"Computer Vision, Data Engineering, Data Science, Image Processing, Natural Language Processing (NLP), Pattern Recognition, PySpark, Recommender Systems, Scala, and Statistics",https://www.linkedin.com/jobs/search/?currentJobId=3736663953&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,Hybrid,Full-Time,Bandung,POINT (107.608800 -6.899350),107.6088,-6.89935
Data Science,Universitas Bunda Mulia,"Analytical Skills, Data Analytics, Data Science, Machine Learning, Skill Development, Teaching, and University Lecturing",https://www.linkedin.com/jobs/search/?currentJobId=3917518314&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,On-Site,Full-Time,Tangerang,POINT (106.65 -6.15),106.65,-6.15
Data Analyst,Alegrium,,https://www.linkedin.com/jobs/search/?currentJobId=4012135043&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
